"id";"prognoselink";"farbe";"badestellelink";"badname";"bezirk";"dat";"cb";"eco";"ente";"sicht";"temp";"profil";"profillink";"pdflink";"rss_name";"bsl";"algen";"wasserqualitaet";"farb_id";"wasserqualitaet_lageso";"wasserqualitaet_predict";"dat_predict"
"3";"";"gruen.jpg";"""Alter Hof(Link zur Badestelle Alter Hof)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344360.php";"Alter Hof";"Steglitz-Zehlendorf";"2019-09-03";"360";"<15";"<15";"210";"22,3";"Unterhavel";"""Unterhavel - Alter Hof(Link zum Badegewässerprofil Unterhavel Alter Hof)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339134.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad29.pdf";"Alter Hof / Unterhavel";"B334";"";"1";"1";"1";"";""
"6";"";"gruen.jpg";"""Bammelecke(Link zur Badestelle Bammelecke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344320.php";"Bammelecke";"Treptow-Köpenick";"2019-09-09";"<300";"<15";"<15";"50";"19,6";"Dahme";"""Dahme - Bammelecke(Link zum Badegewässerprofil Bammelecke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339118.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad1.pdf";"Bammelecke";"B225";"";"1";"1";"1";"";""
"9";"";"gruen.jpg";"""Breitehorn(Link zur Badestelle Breitehorn)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344350.php";"Breitehorn";"Spandau";"2019-09-16";"360";"423";"<15";"100";"18,5";"Unterhavel";"""Unterhavel - Breitehorn(Link zum Badegewässerprofil Unterhavel Breithorn)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339130.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad30.pdf";"Breitehorn / Unterhavel";"B332";"";"1";"1";"1";"";""
"12";"";"gruen.jpg";"""Bürgerablage(Link zur Badestelle Bürgerablage)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344337.php";"Bürgerablage";"Spandau";"2019-09-04";"360";"30";"<15";"70";"22,3";"Oberhavel";"""Oberhavel - Bürgerablage(Link zum Badegewässerprofil Bürgerablage)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339123.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad16.pdf";"Bürgerablage / Oberhavel";"B304";"";"1";"1";"1";"";""
"15";"";"gruen.jpg";"""Dämeritzsee(Link zur Badestelle Dämeritzsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344321.php";"Dämeritzsee";"Treptow-Köpenick";"2019-09-09";"<300";"<15";"<15";"100";"18,4";"Großer Müggelsee";"""Großer Müggelsee - Dämeritzsee(Link zum Badegewässerprofil Dämeritzsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339107.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad2.pdf";"Dämeritzsee";"B105";"";"1";"1";"1";"";""
"18";"";"gruen.jpg";"""Flughafensee(Link zur Badestelle Flughafensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344334.php";"Flughafensee";"Reinickendorf";"2019-09-05";"4300";"<15";"46";"100";"22,6";"Flughafensee";"""Flughafensee - Flughafensee(Link zum Badegewässerprofil Flughafensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339146.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad3.pdf";"Flughafensee";"B920";"";"1";"1";"1";"";""
"21";"";"gruen.jpg";"""Seebad Friedrichshagen(Link zur Badestelle Seebad Friedrichshagen)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344322.php";"Friedrichshagen, Seebad";"Treptow-Köpenick";"2019-09-09";"<300";"<15";"<15";"100";"19,4";"Großer Müggelsee";"""Seebad Friedrichshagen(Link zum Badegewässerprofil Seebad Friedrichshagen)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339113.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad4.pdf";"Seebad Friedrichshagen";"B118";"";"1";"1";"1";"";""
"24";"";"gruen.jpg";"""Flußbad Gartenstraße(Link zur Badestelle Flußbad Gartenstraße)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344323.php";"Gartenstraße, Flussbad";"Treptow-Köpenick";"2019-09-09";"<300";"46";"94";"80";"20,1";"Dahme";"""Dahme - Flussbad Gartenstraße(Link zum Badegewässerprofil Flußbad Gartenstraße)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339121.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad5.pdf";"Flussbad Gartenstraße";"B230";"";"1";"1";"1";"";""
"27";"";"gruen.jpg";"""Groß Glienicker See, nördlich(Link zur Badestelle Glienicker See nördlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344340.php";"Groß Glienicker See, nördlich";"Spandau";"2019-09-10";"910";"<15";"46";"100";"19,5";"Groß Glienicker See";"""Groß Glienicker See - Groß Glienicker See, nördlich(Link zum Groß Glienicker See nördlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339153.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad6.pdf";"Groß Glienicker See, nördlich";"B961";"";"1";"1";"1";"";""
"30";"";"gruen.jpg";"""Groß Glienicker See, südlich(Link zur Badestelle Glienicker See südlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344338.php";"Groß Glienicker See, südlich";"Spandau";"2019-09-10";"910";"<15";"<15";"100";"19,6";"Groß Glienicker See";"""Groß Glienicker See - Groß Glienicker See, südlich(Link zum Groß Glienicker See südlich)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339154.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad7.pdf";"Groß Glienicker See, südlich";"B962";"";"1";"1";"1";"";""
"33";"";"gruen.jpg";"""Große Krampe(Link zur Badestelle Große Krampe)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344326.php";"Große Krampe";"Treptow-Köpenick";"2019-09-09";"<300";"<15";"15";"50";"19,9";"Dahme";"""Dahme - Große Krampe(Link zum Badegewässerprofil Große Krampe)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339117.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad8.pdf";"Große Krampe";"B224";"";"1";"1";"1";"";""
"36";"";"gruen.jpg";"""Große Steinlanke(Link zur Badestelle Große Steinlanke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344362.php";"Große Steinlanke";"Steglitz-Zehlendorf";"2019-09-03";"730";"<15";"<15";"160";"22,6";"Unterhavel";"""Unterhavel - Große Steinlanke(Link zum Badegewässerprofil Unterhavel Steinlanke)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339133.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad31.pdf";"Große Steinlanke / Unterhavel";"B333";"";"1";"1";"1";"";""
"39";"";"gruen.jpg";"""Freibad Grünau(Link zur Badestelle Grünau)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344325.php";"Grünau, Freibad";"Treptow-Köpenick";"2019-09-09";"<300";"<15";"<15";"50";"19,8";"Dahme";"""Dahme - Freibad Grünau(Link zum Badegewässerprofil Freibad Grünau)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339119.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad9.pdf";"Freibad Grünau";"B226";"";"1";"1";"1";"";""
"42";"";"gruen_prog.jpg";"""Grunewaldturm(Link zur Badestelle Grunewaldturm)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344359.php";"Grunewaldturm";"Charlottenburg-Wilmersdorf";"2019-09-16";"360";"<15";"<15";"80";"17,9";"Unterhavel";"""Unterhavel - Grunewaldturm(Link zum Badegewässerprofil Unterhavel Grunewaldturm)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339131.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad32.pdf";"Grunewaldturm / Unterhavel";"B330";"";"11";"1";"1";"ausgezeichnet";"2019-10-27"
"45";"";"gruen.jpg";"""Halensee(Link zur Badestelle Halensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.468922.php";"Halensee";"Charlottenburg-Wilmersdorf";"2019-08-22";"<300";"<15";"<15";"0,5";"22,4";"Halensee";"""Halensee - Halensee(Link zum Badegewässerprofil Halensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.468919.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad39.pdf";"Halensee";"B930";"";"1";"1";"1";"";""
"48";"";"gruen.jpg";"""Freibad Heiligensee(Link zur Badestelle Freibad Heiligensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344335.php";"Heiligensee, Freibad";"Reinickendorf";"2019-09-05";"<300";"<15";"<15";"260";"21,8";"Heiligensee";"""Heiligensee - Freibad Heiligensee(Link zum Badegewässerprofil Freibad Heiligensee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339147.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad10.pdf";"Freibad Heiligensee";"B925";"";"1";"1";"1";"";""
"51";"";"gruen.jpg";"""Freibad Jungfernheide(Link zur Badestelle Freibad Jungfernheide)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344352.php";"Jungfernheide, Freibad";"Charlottenburg-Wilmersdorf";"2019-09-05";"910";"77";"15";"140";"21,2";"Jungfernheideteich";"""Jungfernheideteich - Freibad Jungfernheide(Link zum Badegewässerprofil Freibad Jungfernheide)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339149.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad11.pdf";"Freibad Jungfernheide";"B922";"";"1";"1";"1";"";""
"54";"";"gelb_prog.jpg";"""Kleine Badewiese(Link zur Badestelle Kleine Badewiese)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344351.php";"Kleine Badewiese";"Spandau";"2019-09-16";"<300";"15";"30";"100";"19,1";"Unterhavel";"""Unterhavel - Kleine Badewiese(Link zum Badegewässerprofil Unterhavel Kleine Badewiese)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339129.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad33.pdf";"Kleine Badewiese / Unterhavel";"B329";"";"13";"1";"1";"mangelhaft";"2019-10-27"
"57";"";"gruen.jpg";"""Kleiner Müggelsee(Link zur Badestelle Kleiner Müggelsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344328.php";"Kleiner Müggelsee";"Treptow-Köpenick";"2019-09-09";"<300";"<15";"<15";"200";"19,6";"Großer Müggelsee";"""Großer Müggelsee - Kleiner Müggelsee(Link zum Badegewässerprofil Kleiner Müggelsee)"":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.386749.php";"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)"":http://ftp.berlinonline.de/lageso/baden/bad12.pdf";"Kleiner Müggelsee";"B112";"";"1";"1";"1";"";""
